,station,sample,core,cruise,time,year,month,day,hour,x,y,y_adj,temperature,depth,grain_phi,grain_mm,grain_slope,mud_percent,vf_sand_percent,f_sand_percent,m_sand_percent,c_sand_percent,vc_sand_percent,vf_pebbles_percent,f_pebbles_percent,pebbles_percent,tom_proportion,shear_stress,vms_ospar,seq_depth
I01,SAR_EM_01,SAR_EM_01a,a,HE562,T06:28:00,2020,9,25,6,7.12463,54.77818,54.778179,17,28.25346001,-2.698453369,6491.056748,0.915593305,0.131524297,0.782223453,1.882874152,1.799806175,2.941990863,5.212515575,18.36494531,31.11587983,37.76824034,0.010759524,0.5878,0.034681875,1747
I02,SAR_EM_01,SAR_EM_01b,b,HE562,T06:28:00,2020,9,25,6,7.12463,54.77818,54.77818,17,28.25346001,-2.698453369,6491.056748,0.915593305,0.131524297,0.782223453,1.882874152,1.799806175,2.941990863,5.212515575,18.36494531,31.11587983,37.76824034,0.010759524,0.5878,0.034681875,10234
I03,SAR_EM_01,SAR_EM_01c,c,HE562,T06:28:00,2020,9,25,6,7.12463,54.77818,54.778181,17,28.25346001,-2.698453369,6491.056748,0.915593305,0.131524297,0.782223453,1.882874152,1.799806175,2.941990863,5.212515575,18.36494531,31.11587983,37.76824034,0.010759524,0.5878,0.034681875,6347
I04,SAR_EM_02,SAR_EM_02a,a,HE562,T14:35:00,2020,9,23,15,7.12994,54.78293,54.782929,19,27.57673444,-1.519080768,2866.083751,1.451519426,0.680272109,0.09894867,0.445269017,1.008039579,3.803339518,25.69573284,37.00680272,21.41620284,9.845392703,0.010117444,0.5861,0.043666765,8632
I05,SAR_EM_02,SAR_EM_02b,b,HE562,T14:35:00,2020,9,23,15,7.12994,54.78293,54.78293,19,27.57673444,-1.519080768,2866.083751,1.451519426,0.680272109,0.09894867,0.445269017,1.008039579,3.803339518,25.69573284,37.00680272,21.41620284,9.845392703,0.010117444,0.5861,0.043666765,11203
I06,SAR_EM_02,SAR_EM_02c,c,HE562,T14:35:00,2020,9,23,15,7.12994,54.78293,54.782931,19,27.57673444,-1.519080768,2866.083751,1.451519426,0.680272109,0.09894867,0.445269017,1.008039579,3.803339518,25.69573284,37.00680272,21.41620284,9.845392703,0.010117444,0.5861,0.043666765,7390
I10,SAR_EM_53,SAR_EM_53c,c,HE562,T13:59:00,2020,9,26,14,6.9167,54.84321,54.843211,17,31.01580177,-1.709022818,3269.393024,1.382637404,0.544711757,0.505803774,1.446080021,3.877828935,1.23857078,4.701381233,45.82711886,37.85746709,4.001037546,0.012645522,0.5461,0.111298195,8737
I11,SAR_EM_61,SAR_EM_61a,a,HE562,T13:02:00,2020,9,26,13,6.92186,54.84328,54.843279,17,31.64434914,-0.720183668,1647.391749,1.375380477,0.172509738,0.311630495,2.44296049,8.402893712,3.244296049,56.16026711,16.4329438,4.869226489,7.96327212,0.007636134,0.5466,0.110941942,36680
I12,SAR_EM_61,SAR_EM_61b,b,HE562,T13:02:00,2020,9,26,13,6.92186,54.84328,54.84328,17,31.64434914,-0.720183668,1647.391749,1.375380477,0.172509738,0.311630495,2.44296049,8.402893712,3.244296049,56.16026711,16.4329438,4.869226489,7.96327212,0.007636134,0.5466,0.110941942,24203
I13,SAR_EM_61,SAR_EM_61c,c,HE562,T13:02:00,2020,9,26,13,6.92186,54.84328,54.843281,17,31.64434914,-0.720183668,1647.391749,1.375380477,0.172509738,0.311630495,2.44296049,8.402893712,3.244296049,56.16026711,16.4329438,4.869226489,7.96327212,0.007636134,0.5466,0.110941942,3109
I17,SAR_EM_70,SAR_EM_70b,b,HE562,T16:10:00,2020,9,26,16,6.92951,54.85308,54.85308,17,32.42561684,-0.804059153,1746.006771,0.828647612,3.1947688,0.672582905,8.547407753,11.08827651,1.644091546,22.37272303,24.94161607,20.37365717,7.164876226,0.011251806,0.5341,0.152818317,2719
